"Step","roberta_new - train_loss","roberta_new - train_loss__MIN","roberta_new - train_loss__MAX","bert_new - train_loss","bert_new - train_loss__MIN","bert_new - train_loss__MAX","roberta_orig - train_loss","roberta_orig - train_loss__MIN","roberta_orig - train_loss__MAX","bert_orig - train_loss","bert_orig - train_loss__MIN","bert_orig - train_loss__MAX"
"0","0.5235606814148249","0.5235606814148249","0.5235606814148249","0.5363829850598618","0.5363829850598618","0.5363829850598618","0.5446996550869059","0.5446996550869059","0.5446996550869059","0.5886294438883111","0.5886294438883111","0.5886294438883111"
"1","0.19934087122480074","0.19934087122480074","0.19934087122480074","0.20572085464718165","0.20572085464718165","0.20572085464718165","0.2982005111321255","0.2982005111321255","0.2982005111321255","0.34144181316649475","0.34144181316649475","0.34144181316649475"
"2","0.12549203511810414","0.12549203511810414","0.12549203511810414","0.11014013223488021","0.11014013223488021","0.11014013223488021","0.20852222997281286","0.20852222997281286","0.20852222997281286","0.23875580390018444","0.23875580390018444","0.23875580390018444"
"3","0.08229122986948048","0.08229122986948048","0.08229122986948048","0.05651125620567688","0.05651125620567688","0.05651125620567688","0.1746509230385224","0.1746509230385224","0.1746509230385224","0.14787239691725484","0.14787239691725484","0.14787239691725484"
"4","0.06297664536611626","0.06297664536611626","0.06297664536611626","0.02767978303341402","0.02767978303341402","0.02767978303341402","0.1563013818597904","0.1563013818597904","0.1563013818597904","0.08882471815579468","0.08882471815579468","0.08882471815579468"
"5","0.058535909461271435","0.058535909461271435","0.058535909461271435","0.021749416659413663","0.021749416659413663","0.021749416659413663","0.10499951308938088","0.10499951308938088","0.10499951308938088","0.04086307236165912","0.04086307236165912","0.04086307236165912"
"6","0.026462398728148803","0.026462398728148803","0.026462398728148803","0.010663031757791975","0.010663031757791975","0.010663031757791975","0.05373678835005396","0.05373678835005396","0.05373678835005396","0.03143233177252114","0.03143233177252114","0.03143233177252114"
"7","0.039730850637338506","0.039730850637338506","0.039730850637338506","0.010487569494957657","0.010487569494957657","0.010487569494957657","0.04831699824771257","0.04831699824771257","0.04831699824771257","0.022370999144321238","0.022370999144321238","0.022370999144321238"
"8","0.016135611515319732","0.016135611515319732","0.016135611515319732","0.008536851387126025","0.008536851387126025","0.008536851387126025","0.04972920108896991","0.04972920108896991","0.04972920108896991","0.012285761006987068","0.012285761006987068","0.012285761006987068"
"9","0.031642801645729274","0.031642801645729274","0.031642801645729274","0.026546831358077557","0.026546831358077557","0.026546831358077557","0.03597347648960918","0.03597347648960918","0.03597347648960918","0.06540386046334687","0.06540386046334687","0.06540386046334687"
