"Step","roberta_appnp_new - train_acc","roberta_appnp_new - train_acc__MIN","roberta_appnp_new - train_acc__MAX","roberta_sgc_new - train_acc","roberta_sgc_new - train_acc__MIN","roberta_sgc_new - train_acc__MAX","roberta_gat_new - train_acc","roberta_gat_new - train_acc__MIN","roberta_gat_new - train_acc__MAX","roberta_gcn_new - train_acc","roberta_gcn_new - train_acc__MIN","roberta_gcn_new - train_acc__MAX","roberta_appnp_orig - train_acc","roberta_appnp_orig - train_acc__MIN","roberta_appnp_orig - train_acc__MAX","roberta_sgc_orig - train_acc","roberta_sgc_orig - train_acc__MIN","roberta_sgc_orig - train_acc__MAX","roberta_gat_orig - train_acc","roberta_gat_orig - train_acc__MIN","roberta_gat_orig - train_acc__MAX","roberta_gcn_orig - train_acc","roberta_gcn_orig - train_acc__MIN","roberta_gcn_orig - train_acc__MAX"
"17","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1"
"18","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"19","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"20","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1"
"21","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.7272727272727273","0.7272727272727273","0.7272727272727273"
"22","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"23","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1"
"24","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"25","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"26","1","1","1","1","1","1","0.5454545454545454","0.5454545454545454","0.5454545454545454","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1"
"27","1","1","1","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"28","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","1","1","1"
"29","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.9090909090909091","0.9090909090909091","0.9090909090909091"
