"Step","bert_appnp_new - train_loss","bert_appnp_new - train_loss__MIN","bert_appnp_new - train_loss__MAX","bert_sgc_new - train_loss","bert_sgc_new - train_loss__MIN","bert_sgc_new - train_loss__MAX","bert_gat_new - train_loss","bert_gat_new - train_loss__MIN","bert_gat_new - train_loss__MAX","bert_gcn_new - train_loss","bert_gcn_new - train_loss__MIN","bert_gcn_new - train_loss__MAX","bert_appnp_orig - train_loss","bert_appnp_orig - train_loss__MIN","bert_appnp_orig - train_loss__MAX","bert_sgc_orig - train_loss","bert_sgc_orig - train_loss__MIN","bert_sgc_orig - train_loss__MAX","bert_gat_orig - train_loss","bert_gat_orig - train_loss__MIN","bert_gat_orig - train_loss__MAX","bert_gcn_orig - train_loss","bert_gcn_orig - train_loss__MIN","bert_gcn_orig - train_loss__MAX"
"10","0.007279674522578716","0.007279674522578716","0.007279674522578716","0.7206308245658875","0.7206308245658875","0.7206308245658875","0.06707766652107239","0.06707766652107239","0.06707766652107239","0.1311621218919754","0.1311621218919754","0.1311621218919754","0.0017608948983252048","0.0017608948983252048","0.0017608948983252048","0.6631947159767151","0.6631947159767151","0.6631947159767151","0.17158076167106628","0.17158076167106628","0.17158076167106628","0.12614339590072632","0.12614339590072632","0.12614339590072632"
"11","0.001517457072623074","0.001517457072623074","0.001517457072623074","0.6998353600502014","0.6998353600502014","0.6998353600502014","0.045159388333559036","0.045159388333559036","0.045159388333559036","0.12212812155485153","0.12212812155485153","0.12212812155485153","0.003194560995325446","0.003194560995325446","0.003194560995325446","0.6832308173179626","0.6832308173179626","0.6832308173179626","0.11491155624389648","0.11491155624389648","0.11491155624389648","0.11508443206548691","0.11508443206548691","0.11508443206548691"
"12","0.0008340170024894178","0.0008340170024894178","0.0008340170024894178","0.7260869741439819","0.7260869741439819","0.7260869741439819","0.12145747989416122","0.12145747989416122","0.12145747989416122","0.007291561458259821","0.007291561458259821","0.007291561458259821","0.003554015653207898","0.003554015653207898","0.003554015653207898","0.43424054980278015","0.43424054980278015","0.43424054980278015","0.09341681748628616","0.09341681748628616","0.09341681748628616","0.4622863531112671","0.4622863531112671","0.4622863531112671"
"13","0.0023886242415755987","0.0023886242415755987","0.0023886242415755987","0.7023947238922119","0.7023947238922119","0.7023947238922119","0.0249063391238451","0.0249063391238451","0.0249063391238451","0.11050107330083847","0.11050107330083847","0.11050107330083847","0.002066522603854537","0.002066522603854537","0.002066522603854537","0.3852493166923523","0.3852493166923523","0.3852493166923523","0.050969645380973816","0.050969645380973816","0.050969645380973816","0.16071617603302002","0.16071617603302002","0.16071617603302002"
"14","0.0003869683714583516","0.0003869683714583516","0.0003869683714583516","0.7174808979034424","0.7174808979034424","0.7174808979034424","0.24066151678562164","0.24066151678562164","0.24066151678562164","0.1254190057516098","0.1254190057516098","0.1254190057516098","0.28259921073913574","0.28259921073913574","0.28259921073913574","0.3409987688064575","0.3409987688064575","0.3409987688064575","0.043930355459451675","0.043930355459451675","0.043930355459451675","0.009780678898096085","0.009780678898096085","0.009780678898096085"
"15","0.002473493106663227","0.002473493106663227","0.002473493106663227","0.7062531113624573","0.7062531113624573","0.7062531113624573","0.054556917399168015","0.054556917399168015","0.054556917399168015","0.0388348363339901","0.0388348363339901","0.0388348363339901","0.0016592354513704777","0.0016592354513704777","0.0016592354513704777","0.23319970071315765","0.23319970071315765","0.23319970071315765","0.0719260722398758","0.0719260722398758","0.0719260722398758","0.06628012657165527","0.06628012657165527","0.06628012657165527"
"16","0.000976496550720185","0.000976496550720185","0.000976496550720185","0.6961303353309631","0.6961303353309631","0.6961303353309631","0.01842525601387024","0.01842525601387024","0.01842525601387024","0.07663919031620026","0.07663919031620026","0.07663919031620026","0.001963615883141756","0.001963615883141756","0.001963615883141756","0.24167941510677338","0.24167941510677338","0.24167941510677338","0.0807885006070137","0.0807885006070137","0.0807885006070137","0.20279306173324585","0.20279306173324585","0.20279306173324585"
"17","0.0005783929955214262","0.0005783929955214262","0.0005783929955214262","0.669437050819397","0.669437050819397","0.669437050819397","0.021405471488833427","0.021405471488833427","0.021405471488833427","0.050105154514312744","0.050105154514312744","0.050105154514312744","0.00026577437529340386","0.00026577437529340386","0.00026577437529340386","0.3595496118068695","0.3595496118068695","0.3595496118068695","0.34567195177078247","0.34567195177078247","0.34567195177078247","0.1101214587688446","0.1101214587688446","0.1101214587688446"
"18","0.07521159201860428","0.07521159201860428","0.07521159201860428","0.36619946360588074","0.36619946360588074","0.36619946360588074","0.0018002758733928204","0.0018002758733928204","0.0018002758733928204","0.0026298770681023598","0.0026298770681023598","0.0026298770681023598","0.001593294320628047","0.001593294320628047","0.001593294320628047","0.32347798347473145","0.32347798347473145","0.32347798347473145","0.004462295677512884","0.004462295677512884","0.004462295677512884","0.019002826884388924","0.019002826884388924","0.019002826884388924"
"19","0.00021429431217256933","0.00021429431217256933","0.00021429431217256933","0.3380848169326782","0.3380848169326782","0.3380848169326782","0.019340140745043755","0.019340140745043755","0.019340140745043755","0.056523121893405914","0.056523121893405914","0.056523121893405914","0.00023520545801147819","0.00023520545801147819","0.00023520545801147819","0.30745258927345276","0.30745258927345276","0.30745258927345276","0.023081695660948753","0.023081695660948753","0.023081695660948753","0.09233507513999939","0.09233507513999939","0.09233507513999939"
"20","0.0021330444142222404","0.0021330444142222404","0.0021330444142222404","0.35430800914764404","0.35430800914764404","0.35430800914764404","0.015287522226572037","0.015287522226572037","0.015287522226572037","0.01940282993018627","0.01940282993018627","0.01940282993018627","0.0011469773016870022","0.0011469773016870022","0.0011469773016870022","0.27346429228782654","0.27346429228782654","0.27346429228782654","0.027679121121764183","0.027679121121764183","0.027679121121764183","0.0005706896190531552","0.0005706896190531552","0.0005706896190531552"
"21","0.009598223492503166","0.009598223492503166","0.009598223492503166","0.406528115272522","0.406528115272522","0.406528115272522","0.15215246379375458","0.15215246379375458","0.15215246379375458","0.0017562671564519405","0.0017562671564519405","0.0017562671564519405","0.0001929776626639068","0.0001929776626639068","0.0001929776626639068","0.18665538728237152","0.18665538728237152","0.18665538728237152","0.01674570143222809","0.01674570143222809","0.01674570143222809","0.159803569316864","0.159803569316864","0.159803569316864"
"22","0.0007625717553310096","0.0007625717553310096","0.0007625717553310096","0.4741640090942383","0.4741640090942383","0.4741640090942383","0.00674406485632062","0.00674406485632062","0.00674406485632062","0.07151376456022263","0.07151376456022263","0.07151376456022263","0.10302026569843292","0.10302026569843292","0.10302026569843292","0.25999677181243896","0.25999677181243896","0.25999677181243896","0.176106795668602","0.176106795668602","0.176106795668602","0.15253999829292297","0.15253999829292297","0.15253999829292297"
"23","0.0006765979924239218","0.0006765979924239218","0.0006765979924239218","0.25295230746269226","0.25295230746269226","0.25295230746269226","0.017443278804421425","0.017443278804421425","0.017443278804421425","0.02810891903936863","0.02810891903936863","0.02810891903936863","0.0003874213434755802","0.0003874213434755802","0.0003874213434755802","0.340585321187973","0.340585321187973","0.340585321187973","0.022565854713320732","0.022565854713320732","0.022565854713320732","0.09582534432411194","0.09582534432411194","0.09582534432411194"
"24","0.00007463425572495908","0.00007463425572495908","0.00007463425572495908","0.1244925931096077","0.1244925931096077","0.1244925931096077","0.005636799614876509","0.005636799614876509","0.005636799614876509","0.008081966079771519","0.008081966079771519","0.008081966079771519","0.00036246233503334224","0.00036246233503334224","0.00036246233503334224","0.5536119937896729","0.5536119937896729","0.5536119937896729","0.019046224653720856","0.019046224653720856","0.019046224653720856","0.00542769068852067","0.00542769068852067","0.00542769068852067"
"25","0.0007766517228446901","0.0007766517228446901","0.0007766517228446901","0.2120070606470108","0.2120070606470108","0.2120070606470108","0.010270301252603531","0.010270301252603531","0.010270301252603531","0.022685136646032333","0.022685136646032333","0.022685136646032333","0.00028884317725896835","0.00028884317725896835","0.00028884317725896835","0.5337662100791931","0.5337662100791931","0.5337662100791931","0.01808234676718712","0.01808234676718712","0.01808234676718712","0.009532039053738117","0.009532039053738117","0.009532039053738117"
"26","0.000051630300731630996","0.000051630300731630996","0.000051630300731630996","0.1709579974412918","0.1709579974412918","0.1709579974412918","0.6232049465179443","0.6232049465179443","0.6232049465179443","0.1102762445807457","0.1102762445807457","0.1102762445807457","0.039678458124399185","0.039678458124399185","0.039678458124399185","0.222171351313591","0.222171351313591","0.222171351313591","0.0007001676713116467","0.0007001676713116467","0.0007001676713116467","0.4169885814189911","0.4169885814189911","0.4169885814189911"
"27","0.00012573620188049972","0.00012573620188049972","0.00012573620188049972","0.28307482600212097","0.28307482600212097","0.28307482600212097","0.018472813069820404","0.018472813069820404","0.018472813069820404","0.03231654316186905","0.03231654316186905","0.03231654316186905","0.0002738129114732146","0.0002738129114732146","0.0002738129114732146","0.17985564470291138","0.17985564470291138","0.17985564470291138","0.014566360972821712","0.014566360972821712","0.014566360972821712","0.2113809436559677","0.2113809436559677","0.2113809436559677"
"28","0.00010011221456807107","0.00010011221456807107","0.00010011221456807107","0.37112465500831604","0.37112465500831604","0.37112465500831604","0.0184925626963377","0.0184925626963377","0.0184925626963377","0.08582918345928192","0.08582918345928192","0.08582918345928192","0.0003508233348838985","0.0003508233348838985","0.0003508233348838985","0.26542970538139343","0.26542970538139343","0.26542970538139343","0.021689271554350853","0.021689271554350853","0.021689271554350853","0.10407871752977371","0.10407871752977371","0.10407871752977371"
"29","0.2841634154319763","0.2841634154319763","0.2841634154319763","0.32125529646873474","0.32125529646873474","0.32125529646873474","0.01814359985291958","0.01814359985291958","0.01814359985291958","0.06481913477182388","0.06481913477182388","0.06481913477182388","0.00019248832541052252","0.00019248832541052252","0.00019248832541052252","0.16909891366958618","0.16909891366958618","0.16909891366958618","0.257845938205719","0.257845938205719","0.257845938205719","0.12086132168769836","0.12086132168769836","0.12086132168769836"
"30","0.0004334626719355583","0.0004334626719355583","0.0004334626719355583","0.36383962631225586","0.36383962631225586","0.36383962631225586","0.09159059822559357","0.09159059822559357","0.09159059822559357","0.004773457068949938","0.004773457068949938","0.004773457068949938","0.001484928303398192","0.001484928303398192","0.001484928303398192","0.27370426058769226","0.27370426058769226","0.27370426058769226","0.04916783422231674","0.04916783422231674","0.04916783422231674","0.11760353296995163","0.11760353296995163","0.11760353296995163"
"31","0.0023493582848459482","0.0023493582848459482","0.0023493582848459482","1.0416789054870605","1.0416789054870605","1.0416789054870605","0.008546502329409122","0.008546502329409122","0.008546502329409122","0.0011116777313873172","0.0011116777313873172","0.0011116777313873172","0.0002337927871849388","0.0002337927871849388","0.0002337927871849388","0.49330225586891174","0.49330225586891174","0.49330225586891174","0.048935651779174805","0.048935651779174805","0.048935651779174805","0.025325095281004906","0.025325095281004906","0.025325095281004906"
"32","0.000211181104532443","0.000211181104532443","0.000211181104532443","0.3373657166957855","0.3373657166957855","0.3373657166957855","0.006173491943627596","0.006173491943627596","0.006173491943627596","0.00400810781866312","0.00400810781866312","0.00400810781866312","0.00013003693311475217","0.00013003693311475217","0.00013003693311475217","0.3207380473613739","0.3207380473613739","0.3207380473613739","0.22140908241271973","0.22140908241271973","0.22140908241271973","0.004481686744838953","0.004481686744838953","0.004481686744838953"
