"Step","roberta_appnp_new - train_loss","roberta_appnp_new - train_loss__MIN","roberta_appnp_new - train_loss__MAX","roberta_sgc_new - train_loss","roberta_sgc_new - train_loss__MIN","roberta_sgc_new - train_loss__MAX","roberta_gat_new - train_loss","roberta_gat_new - train_loss__MIN","roberta_gat_new - train_loss__MAX","roberta_gcn_new - train_loss","roberta_gcn_new - train_loss__MIN","roberta_gcn_new - train_loss__MAX","roberta_appnp_orig - train_loss","roberta_appnp_orig - train_loss__MIN","roberta_appnp_orig - train_loss__MAX","roberta_sgc_orig - train_loss","roberta_sgc_orig - train_loss__MIN","roberta_sgc_orig - train_loss__MAX","roberta_gat_orig - train_loss","roberta_gat_orig - train_loss__MIN","roberta_gat_orig - train_loss__MAX","roberta_gcn_orig - train_loss","roberta_gcn_orig - train_loss__MIN","roberta_gcn_orig - train_loss__MAX"
"10","0.0012386082671582699","0.0012386082671582699","0.0012386082671582699","0.2506301701068878","0.2506301701068878","0.2506301701068878","0.6291984915733337","0.6291984915733337","0.6291984915733337","0.1421544849872589","0.1421544849872589","0.1421544849872589","0.8750385046005249","0.8750385046005249","0.8750385046005249","0.1775694042444229","0.1775694042444229","0.1775694042444229","0.5749563574790955","0.5749563574790955","0.5749563574790955","0.2716927230358124","0.2716927230358124","0.2716927230358124"
"11","0.006621876265853643","0.006621876265853643","0.006621876265853643","0.3865506052970886","0.3865506052970886","0.3865506052970886","0.8098871111869812","0.8098871111869812","0.8098871111869812","0.15719987452030182","0.15719987452030182","0.15719987452030182","0.0034350978676229715","0.0034350978676229715","0.0034350978676229715","0.2524698078632355","0.2524698078632355","0.2524698078632355","0.5343306064605713","0.5343306064605713","0.5343306064605713","0.11074593663215637","0.11074593663215637","0.11074593663215637"
"12","0.0009587360545992851","0.0009587360545992851","0.0009587360545992851","0.17119334638118744","0.17119334638118744","0.17119334638118744","0.6022716164588928","0.6022716164588928","0.6022716164588928","0.06532113999128342","0.06532113999128342","0.06532113999128342","0.0029595724772661924","0.0029595724772661924","0.0029595724772661924","0.5487242341041565","0.5487242341041565","0.5487242341041565","0.6003431677818298","0.6003431677818298","0.6003431677818298","0.09621064364910126","0.09621064364910126","0.09621064364910126"
"13","0.0020030804444104433","0.0020030804444104433","0.0020030804444104433","0.13328807055950165","0.13328807055950165","0.13328807055950165","0.45647135376930237","0.45647135376930237","0.45647135376930237","0.029528455808758736","0.029528455808758736","0.029528455808758736","0.0018971371464431286","0.0018971371464431286","0.0018971371464431286","0.30451908707618713","0.30451908707618713","0.30451908707618713","0.17929530143737793","0.17929530143737793","0.17929530143737793","0.15365615487098694","0.15365615487098694","0.15365615487098694"
"14","0.28250887989997864","0.28250887989997864","0.28250887989997864","0.3426961600780487","0.3426961600780487","0.3426961600780487","0.634901225566864","0.634901225566864","0.634901225566864","0.2738315463066101","0.2738315463066101","0.2738315463066101","0.0018980796448886395","0.0018980796448886395","0.0018980796448886395","0.5097875595092773","0.5097875595092773","0.5097875595092773","0.16718930006027222","0.16718930006027222","0.16718930006027222","0.030007092282176018","0.030007092282176018","0.030007092282176018"
"15","0.0004242345748934895","0.0004242345748934895","0.0004242345748934895","0.08451700955629349","0.08451700955629349","0.08451700955629349","0.6361329555511475","0.6361329555511475","0.6361329555511475","0.0015425668098032475","0.0015425668098032475","0.0015425668098032475","0.0012405941961333156","0.0012405941961333156","0.0012405941961333156","0.19173632562160492","0.19173632562160492","0.19173632562160492","0.31216752529144287","0.31216752529144287","0.31216752529144287","0.04004018381237984","0.04004018381237984","0.04004018381237984"
"16","0.025646792724728584","0.025646792724728584","0.025646792724728584","0.08099395036697388","0.08099395036697388","0.08099395036697388","0.6104775071144104","0.6104775071144104","0.6104775071144104","0.34796687960624695","0.34796687960624695","0.34796687960624695","0.38496723771095276","0.38496723771095276","0.38496723771095276","0.5771231651306152","0.5771231651306152","0.5771231651306152","0.1832122653722763","0.1832122653722763","0.1832122653722763","0.07889951020479202","0.07889951020479202","0.07889951020479202"
"17","0.0006861126166768372","0.0006861126166768372","0.0006861126166768372","0.23138898611068726","0.23138898611068726","0.23138898611068726","0.4428209066390991","0.4428209066390991","0.4428209066390991","0.438323050737381","0.438323050737381","0.438323050737381","0.0007351053645834327","0.0007351053645834327","0.0007351053645834327","0.4253422021865845","0.4253422021865845","0.4253422021865845","0.3391181230545044","0.3391181230545044","0.3391181230545044","0.01568426936864853","0.01568426936864853","0.01568426936864853"
"18","0.0005168899660930037","0.0005168899660930037","0.0005168899660930037","0.2744670808315277","0.2744670808315277","0.2744670808315277","0.42009297013282776","0.42009297013282776","0.42009297013282776","0.15971699357032776","0.15971699357032776","0.15971699357032776","0.00045319870696403086","0.00045319870696403086","0.00045319870696403086","0.26360103487968445","0.26360103487968445","0.26360103487968445","0.25434523820877075","0.25434523820877075","0.25434523820877075","0.09755417704582214","0.09755417704582214","0.09755417704582214"
"19","0.0005598263232968748","0.0005598263232968748","0.0005598263232968748","0.11826720088720322","0.11826720088720322","0.11826720088720322","0.5411158204078674","0.5411158204078674","0.5411158204078674","0.06966661661863327","0.06966661661863327","0.06966661661863327","0.00027002711431123316","0.00027002711431123316","0.00027002711431123316","0.22747792303562164","0.22747792303562164","0.22747792303562164","0.1468735784292221","0.1468735784292221","0.1468735784292221","0.1156100258231163","0.1156100258231163","0.1156100258231163"
"20","0.0006738146184943616","0.0006738146184943616","0.0006738146184943616","0.12841545045375824","0.12841545045375824","0.12841545045375824","0.41887176036834717","0.41887176036834717","0.41887176036834717","0.06478996574878693","0.06478996574878693","0.06478996574878693","0.0046668630093336105","0.0046668630093336105","0.0046668630093336105","0.2370813935995102","0.2370813935995102","0.2370813935995102","0.6084111928939819","0.6084111928939819","0.6084111928939819","0.016954898834228516","0.016954898834228516","0.016954898834228516"
"21","0.000404991558752954","0.000404991558752954","0.000404991558752954","0.13861219584941864","0.13861219584941864","0.13861219584941864","0.4591018855571747","0.4591018855571747","0.4591018855571747","0.005358456168323755","0.005358456168323755","0.005358456168323755","0.029689157381653786","0.029689157381653786","0.029689157381653786","0.23229189217090607","0.23229189217090607","0.23229189217090607","0.21396993100643158","0.21396993100643158","0.21396993100643158","0.3137161433696747","0.3137161433696747","0.3137161433696747"
"22","0.0006530141108669341","0.0006530141108669341","0.0006530141108669341","0.06542468070983887","0.06542468070983887","0.06542468070983887","0.4874591827392578","0.4874591827392578","0.4874591827392578","0.049830351024866104","0.049830351024866104","0.049830351024866104","0.00689903786405921","0.00689903786405921","0.00689903786405921","0.13402406871318817","0.13402406871318817","0.13402406871318817","0.0815110132098198","0.0815110132098198","0.0815110132098198","0.017388295382261276","0.017388295382261276","0.017388295382261276"
"23","0.00015043154417071491","0.00015043154417071491","0.00015043154417071491","0.6064768433570862","0.6064768433570862","0.6064768433570862","0.496994286775589","0.496994286775589","0.496994286775589","0.12685662508010864","0.12685662508010864","0.12685662508010864","0.0005705656949430704","0.0005705656949430704","0.0005705656949430704","0.13286904990673065","0.13286904990673065","0.13286904990673065","0.02919079177081585","0.02919079177081585","0.02919079177081585","0.030920155346393585","0.030920155346393585","0.030920155346393585"
"24","0.00022966960386838764","0.00022966960386838764","0.00022966960386838764","0.18477557599544525","0.18477557599544525","0.18477557599544525","0.3148566782474518","0.3148566782474518","0.3148566782474518","0.2578475773334503","0.2578475773334503","0.2578475773334503","0.0006226652767509222","0.0006226652767509222","0.0006226652767509222","0.23237104713916779","0.23237104713916779","0.23237104713916779","0.13270203769207","0.13270203769207","0.13270203769207","0.24490326642990112","0.24490326642990112","0.24490326642990112"
"25","0.0004532768507488072","0.0004532768507488072","0.0004532768507488072","0.2962534427642822","0.2962534427642822","0.2962534427642822","0.4791092872619629","0.4791092872619629","0.4791092872619629","0.04365341365337372","0.04365341365337372","0.04365341365337372","0.0002724585647229105","0.0002724585647229105","0.0002724585647229105","0.3680316209793091","0.3680316209793091","0.3680316209793091","0.1224064752459526","0.1224064752459526","0.1224064752459526","0.14812524616718292","0.14812524616718292","0.14812524616718292"
"26","0.0008268128731288016","0.0008268128731288016","0.0008268128731288016","0.09161527454853058","0.09161527454853058","0.09161527454853058","0.7701752185821533","0.7701752185821533","0.7701752185821533","0.046516310423612595","0.046516310423612595","0.046516310423612595","0.00013822497567161918","0.00013822497567161918","0.00013822497567161918","0.13286413252353668","0.13286413252353668","0.13286413252353668","0.10213709622621536","0.10213709622621536","0.10213709622621536","0.07052721083164215","0.07052721083164215","0.07052721083164215"
"27","0.0013443230418488383","0.0013443230418488383","0.0013443230418488383","0.09709880501031876","0.09709880501031876","0.09709880501031876","0.9436696767807007","0.9436696767807007","0.9436696767807007","0.0846252366900444","0.0846252366900444","0.0846252366900444","0.00010242387361358851","0.00010242387361358851","0.00010242387361358851","0.6801367402076721","0.6801367402076721","0.6801367402076721","0.21528621017932892","0.21528621017932892","0.21528621017932892","0.12271804362535477","0.12271804362535477","0.12271804362535477"
"28","0.00008658441220177338","0.00008658441220177338","0.00008658441220177338","0.07825803011655807","0.07825803011655807","0.07825803011655807","0.4661041498184204","0.4661041498184204","0.4661041498184204","0.14893397688865662","0.14893397688865662","0.14893397688865662","0.0006008827476762235","0.0006008827476762235","0.0006008827476762235","0.6758594512939453","0.6758594512939453","0.6758594512939453","0.0424368716776371","0.0424368716776371","0.0424368716776371","0.012156477198004723","0.012156477198004723","0.012156477198004723"
"29","0.000058100722526432946","0.000058100722526432946","0.000058100722526432946","0.0918245017528534","0.0918245017528534","0.0918245017528534","0.5715503692626953","0.5715503692626953","0.5715503692626953","0.002629993949085474","0.002629993949085474","0.002629993949085474","0.00012074527330696583","0.00012074527330696583","0.00012074527330696583","0.7582128047943115","0.7582128047943115","0.7582128047943115","0.8205804824829102","0.8205804824829102","0.8205804824829102","0.12297321110963821","0.12297321110963821","0.12297321110963821"
"30","0.000039979488065000623","0.000039979488065000623","0.000039979488065000623","0.1606379896402359","0.1606379896402359","0.1606379896402359","0.4745423197746277","0.4745423197746277","0.4745423197746277","0.11508510261774063","0.11508510261774063","0.11508510261774063","0.00014686095528304577","0.00014686095528304577","0.00014686095528304577","0.8368311524391174","0.8368311524391174","0.8368311524391174","0.7429187893867493","0.7429187893867493","0.7429187893867493","0.3066493272781372","0.3066493272781372","0.3066493272781372"
