"Step","roberta_new - train_acc","roberta_new - train_acc__MIN","roberta_new - train_acc__MAX","bert_new - train_acc","bert_new - train_acc__MIN","bert_new - train_acc__MAX","roberta_orig - train_acc","roberta_orig - train_acc__MIN","roberta_orig - train_acc__MAX","bert_orig - train_acc","bert_orig - train_acc__MIN","bert_orig - train_acc__MAX"
"36","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9918981481481481","0.9918981481481481","0.9918981481481481","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9971064814814815","0.9971064814814815","0.9971064814814815"
"37","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9942129629629629","0.9942129629629629","0.9942129629629629","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9994212962962963","0.9994212962962963","0.9994212962962963"
"38","1","1","1","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9988425925925926","0.9988425925925926","0.9988425925925926","0.9976851851851852","0.9976851851851852","0.9976851851851852"
"39","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9971064814814815","0.9971064814814815","0.9971064814814815"
"40","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","0.9930555555555556","0.9930555555555556","0.9930555555555556","1","1","1"
"41","1","1","1","1","1","1","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9994212962962963"
"42","0.9947916666666666","0.9947916666666666","0.9947916666666666","1","1","1","1","1","1","1","1","1"
"43","1","1","1","1","1","1","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1"
"44","0.9959490740740741","0.9959490740740741","0.9959490740740741","1","1","1","0.9976851851851852","0.9976851851851852","0.9976851851851852","1","1","1"
"45","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9918981481481481","0.9918981481481481","0.9918981481481481","1","1","1"
"46","0.9988425925925926","0.9988425925925926","0.9988425925925926","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9971064814814815","0.9971064814814815","0.9971064814814815","1","1","1"
"47","0.9959490740740741","0.9959490740740741","0.9959490740740741","0.9960016835016835","0.9960016835016835","0.9960016835016835","1","1","1","1","1","1"
"48","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9988425925925926","0.9988425925925926","0.9988425925925926","1","1","1","1","1","1"
"49","1","1","1","0.9994212962962963","0.9994212962962963","0.9994212962962963","1","1","1","1","1","1"
